Order ID,Product Name,Category,Sub-Category,Sales,Quantity,Discount,Profit,Shipping Cost,Customer Name,Customer Segment,Region,State,Order Date,Ship Date
ORD-100000,Belkin USB Hub,Technology,Accessories,489.47,2,0.1,45.56,13.65,Lisa Graves,Corporate,East,Maryland,2021-08-17,2021-08-18
ORD-100001,Ergon Chair,Furniture,Chairs,387.72,7,0.0,68.3,26.66,Lisa Graves,Corporate,West,Colorado,2021-07-11,2021-07-14
ORD-100002,Ricoh Aficio,Technology,Copiers,372.54,2,0.0,62.7,13.06,Douglas Rodriguez,Consumer,Central,Texas,2021-01-14,2021-01-19
ORD-100003,AT-A-GLANCE Planner,Office Supplies,Supplies,140.53,10,0.4,-8.66,15.57,Andrew Salazar,Consumer,East,Massachusetts,2022-12-06,2022-12-10
ORD-100004,Anker Charger,Technology,Accessories,334.88,7,0.0,69.36,26.86,Jermaine Wolf,Consumer,East,Virginia,2022-01-29,2022-02-02
ORD-100005,Sauder Bookcase,Furniture,Bookcases,254.39,8,0.0,19.52,34.8,Penny Wilson,Corporate,West,Arizona,2023-01-18,2023-01-20
ORD-100006,Xerox Multi-Use Paper,Office Supplies,Paper,97.74,2,0.0,12.15,30.41,Leslie Lynch,Consumer,East,Virginia,2022-03-26,2022-03-30
ORD-100007,Advantus Ring Binder,Furniture,Furnishings,103.01,9,0.0,7.4,20.84,Jason Harrison,Consumer,Central,Texas,2022-10-07,2022-10-10
ORD-100008,Staedtler Pens,Office Supplies,Art,57.59,3,0.2,4.36,25.54,Jose Hogan,Corporate,South,Florida,2023-03-29,2023-04-01
ORD-100009,Bush Coat Rack,Furniture,Furnishings,201.04,2,0.2,-26.26,21.52,Jack Miranda,Home Office,Central,Minnesota,2023-05-15,2023-05-19
ORD-100010,Realspace Bookcase,Furniture,Bookcases,485.88,9,0.3,-73.51,26.43,Elizabeth Landry,Consumer,West,Nevada,2022-07-01,2022-07-06
ORD-100011,Belkin USB Hub,Technology,Accessories,420.8,1,0.1,12.1,24.61,Brian Williams,Consumer,Central,Missouri,2021-08-06,2021-08-11
ORD-100012,Staples Standard Staples,Office Supplies,Fasteners,72.58,2,0.2,4.76,26.48,Robert Harris,Home Office,East,Pennsylvania,2021-08-18,2021-08-24
ORD-100013,Sharp MX,Technology,Copiers,225.84,4,0.4,-27.38,27.91,Mary Meza,Corporate,West,Oregon,2023-12-27,2024-01-01
ORD-100014,Realspace Bookcase,Furniture,Bookcases,237.92,6,0.0,20.32,22.71,Dr. Darren Mcneil,Consumer,South,Florida,2022-02-16,2022-02-20
ORD-100015,Xerox Multi-Use Paper,Office Supplies,Paper,70.75,9,0.0,22.12,22.48,Carol Wilson,Home Office,East,New York,2022-03-28,2022-03-29
ORD-100016,Acco Staple Remover,Office Supplies,Supplies,89.57,2,0.2,0.64,14.36,Patrick Hardin,Consumer,South,Mississippi,2022-03-15,2022-03-19
ORD-100017,Avery Heavy Duty Binder,Office Supplies,Binders,116.32,4,0.0,18.49,19.81,Laura Martin,Consumer,South,Louisiana,2023-04-22,2023-04-25
ORD-100018,Logitech Keyboard,Technology,Accessories,443.42,2,0.0,36.37,38.85,Kerry Jackson,Home Office,South,Mississippi,2021-10-15,2021-10-18
ORD-100019,Avery File Folder Labels,Office Supplies,Labels,47.5,1,0.0,10.92,4.01,Barbara Barber,Consumer,South,Tennessee,2021-01-31,2021-02-06
ORD-100020,Fiskars Scissors,Office Supplies,Supplies,113.63,8,0.0,25.97,13.28,Theresa Estrada,Home Office,South,Louisiana,2023-03-11,2023-03-14
